geoTime,latitude,longitude,altitude,course,horizontalAccuracy,verticalAccuracy,speed,status,activity,network,appStatus,dayTime
1712475701000,22.253140093103205,113.53723554027495,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712475688000,22.253065363654905,113.53829525858949,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712475680000,22.253065728126444,113.53932111502309,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712475667000,22.25309297947856,113.54039984237353,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712475633000,22.253129485314858,113.54178967458162,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712475620000,22.25331756593647,113.54294925055827,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712475613000,22.25353191956576,113.54400915888338,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712475578000,22.254005088107704,113.54512894597205,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712475564000,22.2545023211406,113.54623481371205,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712475527000,22.255768207977038,113.54915872123573,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712475520000,22.257187624590546,113.54923460398905,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712475481000,22.258991658214544,113.54898939361026,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712475467000,22.2575831841562,113.54937923287459,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712475453000,22.255775154955845,113.54873987502178,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712475440000,22.254772690001992,113.54907389047472,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712475334000,22.24088909052402,113.55030364527158,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712475289000,22.239780088895827,113.55091093690007,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712475281000,22.23914692347789,113.55016989593089,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712475196000,22.237172934469225,113.55089281849536,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712475173000,22.235682833192385,113.55115003331638,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712475142000,22.234816782834258,113.55129658590987,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712475134000,22.2338548837699,113.55138827946426,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712475120000,22.23277852055038,113.55171035294273,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712475107000,22.23186682109414,113.55170431060452,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712475062000,22.230885534761665,113.55197951785526,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712475049000,22.22972563567002,113.55210311665543,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712475034000,22.228659740688308,113.55221176148981,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712475011000,22.226772393700042,113.55265447592565,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712474861000,22.225673859976766,113.55260154448509,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712474845000,22.22456241938303,113.55250771976307,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712474833000,22.22279772447925,113.55310105384264,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712473880000,22.221384148599736,113.55311791942417,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712473806000,22.220445434056273,113.55312783351998,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712473719000,22.21995185242979,113.55395466014456,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712473654000,22.22009067718925,113.55498104547941,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712473494000,22.219548243685878,113.55577002093159,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712473380000,22.218584806196827,113.55614302679652,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712473257000,22.218632703262966,113.55718944216994,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712473226000,22.218016774416444,113.55625171974346,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712473213000,22.2171340544632,113.55576188697533,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712473205000,22.21730397726891,113.55778191089264,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712473134000,22.216610634863372,113.55268674093283,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712473114000,22.216299744548856,113.55129640056563,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712473100000,22.2159317569279,113.54998790250508,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712473075000,22.21568340084126,113.54841021610001,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712473061000,22.21581961479147,113.5469971737136,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712473038000,22.215150594675844,113.54582246352447,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712473024000,22.21550519382738,113.5446827618586,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712473010000,22.214713604599034,113.54379329569564,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712472949000,22.213740343246915,113.5415927307443,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712472872000,22.21353365754616,113.54069640482174,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712472794000,22.2133322942701,113.53968146244725,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712472786000,22.213207662856572,113.53838342299093,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712472771000,22.213161263725894,113.53738649866565,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712472709000,22.21100067308853,113.52793173591544,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712472695000,22.209305962114424,113.52591434583518,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712472637000,22.210110641495042,113.52177240070672,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712472616000,22.211941716937265,113.51915050514987,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712472593000,22.213639736061396,113.51625462764426,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712472580000,22.214765410551788,113.51489841547443,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712472556000,22.216630310893226,113.5130579557374,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712472549000,22.217963733239117,113.5121063691167,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712472541000,22.218648423223975,113.5114706385922,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712472527000,22.220189731211835,113.51053800586213,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712472519000,22.221014351896773,113.50925057413367,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712472483000,22.225348457698214,113.50709940665845,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712472337000,22.226659122743197,113.5067407511879,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
1712472313000,22.227915631825017,113.50643988929025,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1712419200
